{'level':'info','time':'2024-12-16 09:00:00','message':'Starting bus scheduling'}
{'level':'info','time':'2024-12-16 09:01:00','message':'Bus 1 is active with driver 1'}
{'level':'info','time':'2024-12-16 09:01:00','message':'Bus 2 is active with driver 6'}
{'level':'info','time':'2024-12-16 09:01:00','message':'Bus 3 is active with driver 5'}
{'level':'info','time':'2024-12-16 09:01:00','message':'Bus 4 is active with driver 3'}
{'level':'info','time':'2024-12-16 09:01:00','message':'Bus 5 is active with driver 4'}
{'level':'info','time':'2024-12-16 09:01:00','message':'Bus 6 is active with driver 2'}
{'level':'info','time':'2024-12-16 09:01:00','message':'Bus 7 is active with driver 7'}
{'level':'info','time':'2024-12-16 09:02:00','message':'Bus 1 has coming to Stop A. Passengers: +11, -1. Load: 10/100.'}
{'level':'info','time':'2024-12-16 09:06:00','message':'Bus 2 has coming to Stop B. Passengers: +26, -8. Load: 18/150.'}
{'level':'info','time':'2024-12-16 09:09:00','message':'Bus 1 has coming to Stop B. Passengers: +33, -6. Load: 37/100.'}
{'level':'info','time':'2024-12-16 09:11:00','message':'Bus 3 has coming to Stop C. Passengers: +38, -3. Load: 35/150.'}
{'level':'info','time':'2024-12-16 09:15:00','message':'Bus 2 has coming to Stop C. Passengers: +44, -20. Load: 42/150.'}
{'level':'info','time':'2024-12-16 09:16:00','message':'Bus 4 has coming to Stop D. Passengers: +47, -7. Load: 40/80.'}
{'level':'info','time':'2024-12-16 09:18:00','message':'Bus 1 has coming to Stop C. Passengers: +45, -12. Load: 70/100.'}
{'level':'info','time':'2024-12-16 09:19:00','message':'Bus 3 has coming to Stop D. Passengers: +45, -22. Load: 58/150.'}
{'level':'info','time':'2024-12-16 09:21:00','message':'Bus 5 has coming to Stop E. Passengers: +45, -3. Load: 42/110.'}
{'level':'info','time':'2024-12-16 09:23:00','message':'Bus 2 has coming to Stop D. Passengers: +35, -18. Load: 59/150.'}
{'level':'info','time':'2024-12-16 09:26:00','message':'Bus 1 has coming to Stop D. Passengers: +30, -11. Load: 89/100.'}
{'level':'info','time':'2024-12-16 09:26:00','message':'Bus 6 has coming to Stop F. Passengers: +44, -0. Load: 44/90.'}
{'level':'info','time':'2024-12-16 09:28:00','message':'Bus 4 has coming to Stop E. Passengers: +39, -15. Load: 64/80.'}
{'level':'info','time':'2024-12-16 09:31:00','message':'Bus 3 has coming to Stop E. Passengers: +40, -29. Load: 69/150.'}
{'level':'info','time':'2024-12-16 09:31:00','message':'Bus 5 has coming to Stop F. Passengers: +42, -9. Load: 75/110.'}
{'level':'info','time':'2024-12-16 09:31:00','message':'Bus 7 has coming to Stop G. Passengers: +45, -11. Load: 34/85.'}
{'level':'info','time':'2024-12-16 09:34:00','message':'Bus 6 has coming to Stop G. Passengers: +36, -20. Load: 60/90.'}
{'level':'info','time':'2024-12-16 09:35:00','message':'Bus 2 has coming to Stop E. Passengers: +39, -13. Load: 85/150.'}
{'level':'info','time':'2024-12-16 09:37:00','message':'Bus 7 has coming to Stop H. Passengers: +38, -23. Load: 49/85.'}
{'level':'info','time':'2024-12-16 09:38:00','message':'Bus 1 has coming to Stop E. Passengers: +11, -32. Load: 68/100.'}
{'level':'info','time':'2024-12-16 09:38:00','message':'Bus 4 has coming to Stop F. Passengers: +16, -0. Load: 80/80.'}
{'level':'info','time':'2024-12-16 09:39:00','message':'Bus 5 has coming to Stop G. Passengers: +35, -25. Load: 85/110.'}
{'level':'info','time':'2024-12-16 09:40:00','message':'Bus 6 has coming to Stop H. Passengers: +30, -29. Load: 61/90.'}
{'level':'info','time':'2024-12-16 09:41:00','message':'Bus 3 has coming to Stop F. Passengers: +34, -19. Load: 84/150.'}
{'level':'info','time':'2024-12-16 09:44:00','message':'Bus 7 has coming to Stop I. Passengers: +36, -11. Load: 74/85.'}
{'level':'info','time':'2024-12-16 09:45:00','message':'Bus 2 has coming to Stop F. Passengers: +36, -34. Load: 87/150.'}
{'level':'info','time':'2024-12-16 09:45:00','message':'Bus 5 has coming to Stop H. Passengers: +25, -14. Load: 96/110.'}
