BusID: 1
Time                 |StopName  |DriverID  |PassengersCount  |BusLoad
2024-12-16 09:02:00  |Stop A    |1         |10               |10%
2024-12-16 09:09:00  |Stop B    |1         |37               |37%
2024-12-16 09:18:00  |Stop C    |1         |70               |70%
2024-12-16 09:26:00  |Stop D    |1         |89               |89%
2024-12-16 09:38:00  |Stop E    |1         |68               |68%
2024-12-16 09:48:00  |Stop F    |1         |83               |83%
2024-12-16 09:56:00  |Stop G    |1         |72               |72%
2024-12-16 10:02:00  |Stop H    |1         |97               |97%
2024-12-16 10:09:00  |Stop I    |1         |90               |90%
2024-12-16 10:20:00  |Stop J    |1         |92               |92%
2024-12-16 10:29:00  |Stop A    |1         |93               |93%
2024-12-16 10:36:00  |Stop B    |1         |79               |79%
2024-12-16 10:45:00  |Stop C    |1         |62               |62%
2024-12-16 10:53:00  |Stop D    |1         |61               |61%
2024-12-16 11:05:00  |Stop E    |1         |54               |54%
2024-12-16 11:15:00  |Stop F    |1         |52               |52%
2024-12-16 11:23:00  |Stop G    |1         |49               |49%
2024-12-16 11:29:00  |Stop H    |1         |51               |51%
2024-12-16 11:36:00  |Stop I    |1         |42               |42%
2024-12-16 11:47:00  |Stop J    |1         |48               |48%
2024-12-16 11:56:00  |Stop A    |1         |52               |52%
2024-12-16 12:03:00  |Stop B    |1         |49               |49%
2024-12-16 12:12:00  |Stop C    |1         |55               |55%
2024-12-16 12:20:00  |Stop D    |1         |58               |57%
2024-12-16 12:32:00  |Stop E    |1         |47               |47%
2024-12-16 12:42:00  |Stop F    |1         |49               |49%
2024-12-16 12:50:00  |Stop G    |1         |35               |35%
2024-12-16 12:56:00  |Stop H    |1         |26               |26%
2024-12-16 14:01:00  |Stop I    |6         |28               |28%
2024-12-16 14:12:00  |Stop J    |6         |34               |34%
2024-12-16 14:21:00  |Stop A    |6         |45               |45%
2024-12-16 14:28:00  |Stop B    |6         |49               |49%
2024-12-16 14:37:00  |Stop C    |6         |37               |37%
2024-12-16 14:45:00  |Stop D    |6         |35               |35%
2024-12-16 14:57:00  |Stop E    |6         |31               |31%
2024-12-16 15:07:00  |Stop F    |6         |27               |27%
2024-12-16 15:15:00  |Stop G    |6         |36               |36%
2024-12-16 15:21:00  |Stop H    |6         |35               |35%
2024-12-16 15:28:00  |Stop I    |6         |33               |33%
